source_doi,published-online-date,published-print-date,journal-published-print-date,is-referenced-by-count,funder
10.1002/ppul.23368,2015.0,2016.0,2016.0,23.0,none reported
10.1007/s00259-016-3309-5,2016.0,2016.0,2016.0,25.0,"ENC-DAT was funded by EANM, GE Healthcare, and German Parkinson Association"
10.1111/pre.12113,2016.0,2016.0,2016.0,4.0,"Global Environment Research Fund,Ministry of the Environment, Japan,JST,DIISR,TOTAL FOUNDATION"
10.1007/s00542-015-2612-6,2015.0,2016.0,2016.0,0.0,Natural Sciences and Engineering Research Council of Canada
10.1093/jac/dkv323,2015.0,2016.0,2016.0,2.0,Janssen Pharmaceuticals
10.1080/15284336.2015.1135553,2016.0,2016.0,2016.0,4.0,French National Agency for Research on AIDS and Viral Hepatitis(ANRS)
10.1111/dar.12398,2016.0,2017.0,2017.0,16.0,French National Agency for Research on Aids and Viral Hepatitis (ANRS)
10.1007/s13199-016-0406-y,2016.0,2016.0,2016.0,8.0,Agence Nationale de la Recherche
10.1007/s00345-016-1826-2,2016.0,2017.0,2017.0,43.0,grant from Association des Amis de la Faculté de médicine de Nice
10.1007/s11207-016-0890-5,2016.0,2016.0,2016.0,7.0,"Scientific and Technical Council of Turkey,Air Force Office of Scientific Research,National Science Foundation,Belgian Solar-Terrestrial Center of Excellence,International Space Science Institute in Bern"
10.1002/mop.29852,2016.0,2016.0,2016.0,2.0,French National Agency for Research
10.1186/s13059-016-0952-x,2016.0,2016.0,2016.0,9.0,"MIUR,PAINCAGE FP7,Flagship Project InterOmics,Wellcome Trust,Cancer Research UK"
10.1002/eji.201546143,2016.0,2016.0,2016.0,5.0,INSERM
10.1177/1352458518763080,2018.0,2019.0,2019.0,7.0,"European Leukodystrophies Association,Fondation pour l’Aide à la Recherche sur la Sclérose en Plaques,PHRC National"
10.1007/s10096-018-3202-1,2018.0,2018.0,2018.0,4.0,European Regional Development Fund
10.1007/s00784-018-2430-1,2018.0,2019.0,2019.0,5.0,Medical Research Council of Saint-Joseph University
