source_doi,dsm_oa_classification,dsm_splash_url,dsm_policy_preprint,dsm_policy_postprint,dsm_policy_published,dsm_romeo_id
10.1111/ger.12094,OK,doi.org,can,restricted,cannot,2050.0
10.1016/j.lrp.2014.09.001,OK,"doi.org,halshs.archives-ouvertes.fr",can,can,cannot,30.0
10.1007/s10750-015-2333-y,OK,"doi.org,www.researchgate.net",can,can,cannot,74.0
10.1136/annrheumdis-2015-207336,OK,"doi.org,hal.archives-ouvertes.fr,orcid.org",can,can,cannot,25.0
10.1007/s10409-015-0487-5,OK,"doi.org,www.researchgate.net",can,can,cannot,3298.0
10.1016/j.biochi.2015.09.011,OK,"doi.org,hal.archives-ouvertes.fr",can,can,cannot,2823.0
10.1017/S1365100515000097,OK,"citeseerx.ist.psu.edu,www.researchgate.net,doi.org,hal-unice.archives-ouvertes.fr,hal.archives-ouvertes.fr",can,can,cannot,2128.0
10.1007/s11695-015-1907-0,OK,doi.org,can,can,cannot,74
10.1007/s12603-015-0608-7,OK,"doi.org,www.researchgate.net",can,can,cannot,74
10.1016/j.jcp.2015.10.013,OA,"arxiv.org,www.research.ed.ac.uk,re.public.polimi.it,www.researchgate.net,doi.org,hdl.handle.net,www.elsevier.com,infoscience.epfl.ch,www.pure.ed.ac.uk,hal.archives-ouvertes.fr",can,can,cannot,30
10.1080/17528631.2015.1085664,OK,doi.org,can,can,cannot,1140
10.1016/j.cbpa.2015.10.017,OK,"doi.org,www.researchgate.net",can,can,cannot,2823
10.1007/s00167-015-3835-x,OK,doi.org,can,can,cannot,74
10.1016/j.asoc.2015.11.012,OK,"doi.org,orcid.org",can,can,cannot,30
10.1007/s12220-015-9654-y,OK,"arxiv.org,doi.org",can,can,cannot,74
10.1051/0004-6361/201526888,OA,"www.aanda.org,doi.org,www.researchgate.net",can,can,can,1326
10.1007/s00345-015-1737-7,OK,"doi.org,serval.unil.ch,hal-univ-rennes1.archives-ouvertes.fr",can,can,cannot,3298
10.1126/scitranslmed.aaf1471,OK,"eprints.whiterose.ac.uk,www.researchgate.net,doi.org,arrow.monash.edu.au,orcid.org",can,can,cannot,3.0
10.1016/j.ctrv.2015.12.007,OK,doi.org,can,can,cannot,2823.0
10.1016/j.rhum.2016.02.012,OK,doi.org,can,can,cannot,2823.0
10.1016/j.ijrobp.2015.10.061,OK,doi.org,can,can,cannot,30.0
10.1080/15284336.2015.1135553,OK,"hal-univ-rennes1.archives-ouvertes.fr,doi.org",can,can,cannot,1141.0
10.1097/CCM.0000000000001580,OK,doi.org,can,restricted,cannot,48.0
10.1093/mnras/stv2942,OK,"arxiv.org,doi.org,www.researchgate.net,orcid.org",can,can,can,1530.0
10.1016/j.jcp.2016.04.020,OK,"doi.org,www.researchgate.net",can,can,cannot,30.0
10.3389/fphys.2018.00232,OA,doi.org,can,can,can,600
10.1177/1352458518763080,OK,doi.org,can,can,cannot,65
10.1007/978-3-319-75541-0_18,OK,"hal.inria.fr,doi.org",can,can,cannot,74
10.1016/j.cancergen.2017.11.010,OK,doi.org,can,can,cannot,2823
10.1016/j.media.2017.12.008,OK,doi.org,can,can,cannot,30
10.1007/s10096-018-3202-1,OK,doi.org,can,can,cannot,74
10.4000/mcv.8027,OK,doi.org,cannot,can,restricted,1516
10.1016/j.jastp.2017.08.004,OK,doi.org,can,can,cannot,30
10.1016/j.jastp.2017.11.018,OK,"arxiv.org,doi.org",can,can,cannot,30
10.1007/s00784-018-2430-1,OK,doi.org,can,can,cannot,3298
10.1007/s00204-019-02497-4,OK,doi.org,can,can,cannot,3298
10.1142/S0219581X19400398,OK,doi.org,can,restricted,cannot,155
10.3389/fimmu.2019.01192,OA,doi.org,can,can,can,600
10.3917/spub.191.0053,OA,doi.org,unknown,unknown,unknown,DOAJ
10.21630/maa.2018.69.12,OA,doi.org,unknown,unknown,unknown,DOAJ
10.1371/journal.pcbi.1007054,OA,doi.org,can,can,can,112
10.3389/fphys.2019.00603,OA,doi.org,can,can,can,600
10.1109/INFOCOM.2019.8737548,OK,doi.org,can,can,cannot,38
10.1038/s41574-019-0226-2,UNK,doi.org,cannot,restricted,cannot,3272.0
10.1039/c9ra03305j,OA,doi.org,can,can,can,2773.0
10.1002/jnr.24485,OK,doi.org,can,restricted,cannot,2050.0
10.1007/978-3-030-22312-0_11,OK,doi.org,can,can,cannot,2765.0
10.1016/j.jasrep.2019.101909,OK,doi.org,can,can,cannot,30.0
10.1021/acs.est.8b06380,UNK,doi.org,restricted,restricted,cannot,4
10.5194/nhess-19-1297-2019,OA,doi.org,can,can,can,185
10.1051/0004-6361/201834744,OK,"doi.org,orcid.org",can,can,can,1326
10.3389/fphys.2019.00488,OA,doi.org,can,can,can,600
10.1111/jdv.15717,OK,doi.org,can,restricted,cannot,2050
10.1051/0004-6361/201833920,OK,doi.org,can,can,can,1326
10.1515/bejte-2018-0197,OK,doi.org,can,restricted,restricted,414
10.1482/92926,OK,doi.org,can,restricted,cannot,1205
10.3389/fphar.2019.00379,OA,doi.org,can,can,can,600
10.2174/1567205016666190325092841,OK,doi.org,can,restricted,cannot,316
10.1016/j.disc.2019.07.002,OK,doi.org,can,can,cannot,30.0
10.3389/fnins.2019.00591,OA,doi.org,can,can,can,600.0
10.1038/s41467-019-10839-0,OA,doi.org,can,can,can,3287.0
10.1016/j.mcp.2019.07.001,OK,doi.org,can,can,cannot,2823.0
10.1021/acsphotonics.9b00433,UNK,doi.org,restricted,restricted,cannot,4.0
10.1002/adsc.201900268,OK,doi.org,can,restricted,cannot,2050.0
10.1051/0004-6361/201935494,OK,doi.org,can,can,can,1326.0
10.1016/j.livres.2018.03.001,OA,doi.org,can,can,cannot,30.0
10.1016/j.clinre.2019.06.013,OK,doi.org,can,can,cannot,2823.0
10.1093/icc/dty021,OK,doi.org,can,can,cannot,1480.0
10.1002/cphc.201900443,OK,doi.org,can,restricted,cannot,2050.0
10.1093/toxsci/kfz087,OK,doi.org,can,can,cannot,1476.0
10.1049/el.2019.1242,OK,doi.org,can,can,cannot,42.0
10.1093/gji/ggz189,OK,doi.org,can,can,can,1530.0
