source_id,doi,year,corresponding,all_authors
SCOPUS_ID:84889561052,10.1111/ger.12094,2016,Lassauzay C.|UCA (affiliation),Lassauzay C.
SCOPUS_ID:84908431549,10.1016/j.lrp.2014.09.001,2016,,Saglietto L.|Loufrani-Fedida S.
SCOPUS_ID:84909580664,10.1007/978-1-349-26270-0,2016,,Gaffard J.L.
SCOPUS_ID:84921605785,10.4324/9781315539171-20,2016,Nordera M.|UCA (affiliation),Nordera M.
SCOPUS_ID:84926094523,10.1007/978-0-230-00103-9,2016,Arena R.|UCA (affiliation),Arena R.
SCOPUS_ID:84931086752,10.1007/s10750-015-2333-y,2016,,Thibaut T.
SCOPUS_ID:84940831274,10.1136/annrheumdis-2015-207336,2016,,Leroy S.
SCOPUS_ID:84940908558,10.1007/s10409-015-0487-5,2016,,Yu Y.
SCOPUS_ID:84941729360,10.1016/j.biochi.2015.09.011,2016,,Forcioli-Conti N.|Dani C.|Peraldi P.
SCOPUS_ID:84943778473,10.1017/S1365100515000097,2016,,Seppecher P.
SCOPUS_ID:84944704794,10.1007/s11695-015-1907-0,2016,,Amor I.B.|Hastier A.|Piche T.|Schneck A.S.|Iannelli A.|Anty R.|Gugenheim J.|Tran A.
SCOPUS_ID:84945152105,10.1007/s12603-015-0608-7,2016,,Pugliese P.
SCOPUS_ID:84945157878,10.1016/j.jcp.2015.10.013,2016,,Vides J.|Nkonga B.
SCOPUS_ID:84945207793,10.1080/17528631.2015.1085664,2017,Laplanche-Servigne S.|UCA (affiliation),Laplanche-Servigne S.
SCOPUS_ID:84945265060,10.1016/j.cbpa.2015.10.017,2016,,Revel J.|Sabourault C.|Capron L.|Massi L.|Mehiri M.
SCOPUS_ID:84946134562,10.1007/s00167-015-3835-x,2016,,Trojani C.
SCOPUS_ID:84948423940,10.1016/j.asoc.2015.11.012,2016,,Pallez D.
SCOPUS_ID:84948964222,10.1007/s12220-015-9654-y,2016,Gigli N.|UCA (affiliation),Gigli N.
SCOPUS_ID:84949591200,10.1051/0004-6361/201526888,2016,,Delbo M.|Delbo M.|Alí-Lagoa V.|Alí-Lagoa V.
SCOPUS_ID:84949638644,10.1007/s00345-015-1737-7,2016,,Mbeutcha A.
SCOPUS_ID:84949652808,10.1016/j.cmi.2015.10.030,2016,,Amiel J.|Durand M.|Ambrosetti D.|Michiels J.F.|Lotte R.|Ruimy R.
SCOPUS_ID:84950131669,10.1097/MEJ.0000000000000362,2017,,Dellamonica J.|Ichai C.
SCOPUS_ID:84951325896,10.1016/j.jse.2015.08.033,2016,,Bronsard N.|Gauci M.O.|Dumontier C.
