prefix,publisher_by_doiprefix
10.21873,Anticancer Research USA Inc.
10.1119,American Association of Physics Teachers (AAPT)
10.2166,IWA Publishing
10.1177,SAGE Publications
10.4081,PAGEPress Publications
10.1084,Rockefeller University Press
10.3324,Ferrata Storti Foundation (Haematologica)
10.4171,European Mathematical Society - EMS - Publishing House GmbH
10.3847,American Astronomical Society
10.7494,AGHU University of Science and Technology Press
10.1165,American Thoracic Society
10.3758,Springer Science and Business Media LLC
10.21307,"Exeley, Inc."
10.1096,Wiley
10.4007,Annals of Mathematics
10.5005,Jaypee Brothers Medical Publishing
10.1101,Cold Spring Harbor Laboratory
10.4074,Editions NecPlus
10.3171,Journal of Neurosurgery Publishing Group (JNSPG)
10.2495,WITPRESS LTD.
10.1108,Emerald
10.12681,National Documentation Centre (EKT)
10.1026,Hogrefe Publishing Group
10.12989,Techno-Press
10.12997,Korean Society of Lipidology and Atherosclerosis
10.26615,Assoc. for Computational Linguistics Bulgaria
10.14321,Michigan State University Press
10.3139,Carl Hanser Verlag
10.12871,Pisa University Press
10.3917,CAIRN
10.1563,American Academy of Implant Dentistry
10.22331,Verein zur Forderung des Open Access Publizierens in den Quantenwissenschaften
10.15171,International Society for Phytocosmetic Sciences
10.1215,Duke University Press
10.1615,Begell House
10.1209,IOP Publishing
10.5301,SAGE Publications
10.7202,Consortium Erudit
10.14201,Ediciones Universidad de Salamanca
10.1504,Inderscience Publishers
10.1123,Human Kinetics
10.5937,Centre for Evaluation in Education and Science (CEON/CEES)
10.4267,INIST-CNRS
10.1134,Pleiades Publishing Ltd
10.3354,Inter-Research Science Center
10.4018,IGI Global
10.1103,American Physical Society (APS)
10.1249,Ovid Technologies (Wolters Kluwer Health)
10.1371,Public Library of Science (PLoS)
10.1117,SPIE-Intl Soc Optical Eng
10.7712,ECCOMAS
10.3897,Pensoft Publishers
10.5414,Dustri-Verlgag Dr. Karl Feistle
10.3928,"SLACK, Inc."
10.1039,Royal Society of Chemistry (RSC)
10.1149,The Electrochemical Society
10.2528,The Electromagnetics Academy
10.25046,ASTES Journal
10.4155,Future Science Ltd
10.21615,Universidad CES
10.2143,Peeters Publishers
10.33594,Cell Physiol Biochem Press GmbH and Co KG
10.1159,S. Karger AG
10.3114,Westerdijk Fungal Biodiversity Institute
10.2118,Society of Petroleum Engineers (SPE)
10.3934,American Institute of Mathematical Sciences (AIMS)
10.1083,Rockefeller University Press
10.18293,KSI Research Inc.
10.18564,Journal of Artificial Societies and Social Simulation
10.5802,Cellule MathDoc/CEDRAM
10.15407,National Academy of Sciences of Ukraine (Co. LTD Ukrinformnauka)
10.17083,Serious Games Society
10.37236,The Electronic Journal of Combinatorics
10.7146,Det Kgl. Bibliotek/Royal Danish Library
10.9771,Universidade Federal da Bahia
10.1088,IOP Publishing
10.1553,Osterreichische Akademie der Wissenschaften
10.1542,American Academy of Pediatrics (AAP)
10.1556,Akademiai Kiado Zrt.
10.5755,Kaunas University of Technology (KTU)
10.7554,"eLife Sciences Publications, Ltd"
10.1557,Springer Science and Business Media LLC
10.11646,Magnolia Press
10.5751,"Resilience Alliance, Inc."
10.1055,Georg Thieme Verlag KG
10.2217,Future Medicine Ltd
10.15766,Association of American Medical Colleges
10.4049,The American Association of Immunologists
